"ID","Keyword","Section","Anchor","SpecLocationHref","NormativeText","ThreatAlignment","FailureIfDowngraded","WhyShouldInsufficient","VerificationMethod","ReferenceImplStatus","EvidenceNotes","TargetVersion","SourceLine"
"NORM-001","MUST","1. Definitions & Keywords Â· Key Terms","sec1","/docs/spec/v1.0.html#sec1","MUST â€” absolute requirement; system must implement","","","","","N/A","","v1.0","371"
"NORM-002","MUST","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","Principle: User actions and system changes MUST be undoable within documented recovery windows. Failures MUST NOT become irreversible harm.","","","","","N/A","","v1.0","458"
"NORM-003","MUST NOT","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","Principle: User actions and system changes MUST be undoable within documented recovery windows. Failures MUST NOT become irreversible harm.","","","","","N/A","","v1.0","458"
"NORM-004","MUST","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST provide undo/undo mechanism for all destructive user actions (delete, modify, publish)","","","","","N/A","","v1.0","463"
"NORM-005","MUST","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST display recovery window duration to user (e.g., ""Item will be permanently deleted in 30 days"")","","","","","N/A","","v1.0","464"
"NORM-006","MUST NOT","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST NOT permanently delete user data without explicit confirmation + mandatory delay (minimum 7 days)","","","","","N/A","","v1.0","466"
"NORM-007","MUST","4. Core Principles (Normative) Â· 4.1 Reversibility","sec4","/docs/spec/v1.0.html#sec4","MUST document which system actions are reversible and which are irreversible","","","","","N/A","","v1.0","467"
"NORM-008","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","","","","","N/A","","v1.0","497"
"NORM-009","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","","","","","N/A","","v1.0","497"
"NORM-010","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","Principle: Data MUST be collected only when essential. What is collected MUST be defended with cryptography. Data retention MUST be minimal and automatic.","","","","","N/A","","v1.0","497"
"NORM-011","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST perform data minimization audit: justify every data field collected","","","","","N/A","","v1.0","502"
"NORM-012","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST encrypt sensitive data at rest (AES-256 minimum; ChaCha20 acceptable)","","","","","N/A","","v1.0","503"
"NORM-013","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST use TLS 1.3+ for all data in transit; TLS 1.2 acceptable with strong ciphersuites only","","","","","N/A","","v1.0","504"
"NORM-014","MUST","4. Core Principles (Normative) Â· 4.2 Exposure Minimization","sec4","/docs/spec/v1.0.html#sec4","MUST define explicit retention policy for every data field (max age before auto-delete)","","","","","N/A","","v1.0","505"
